Example response to /action,41743

/bymarker (0.0,)
/editloop (0.0,)
/scroll/x/- (0.0,)
/scroll/x/+ (0.0,)
/scroll/y/- (0.0,)
/scroll/y/+ (0.0,)
/zoom/x/- (0.0,)
/zoom/x/+ (0.0,)
/zoom/y/- (0.0,)
/replace (0.0,)
/click (0.0,)
/repeat (0.0,)
/record (0.0,)
/stop (1.0,)
/pause (0.0,)
/play (0.0,)
/tempo (0.3125,)
/tempo/raw (120.0,)
/tempo/str ('120',)
/playrate (0.20000000298023224,)
/playrate/raw (1.0,)
/playrate/str ('1',)
/autorecarm (0.0,)
/fxeq/hipass/str ('HPF',)
/fxeq/loshelf/str ('Lo Shlf',)
/fxeq/band/str ('Band',)
/fxeq/notch/str ('Notch',)
/fxeq/hishelf/str ('Hi Shlf',)
/fxeq/lopass/str ('LPF',)
/device/track/select/1 (0.0,)
/device/track/select/2 (0.0,)
/device/track/select/3 (0.0,)
/device/track/select/4 (0.0,)
/device/track/select/5 (0.0,)
/device/track/select/6 (0.0,)
/device/track/select/7 (0.0,)
/device/track/select/8 (0.0,)
/track/name ('MASTER',)
/track/number/str ('0',)
/track/select (0.0,)
/master/volume (0.7160000205039978,)
/master/volume/str ('0.00dB',)
/track/volume/db (0.0,)
/track/volume/str ('0.00dB',)
/track/volume (0.7160000205039978,)
/master/pan (0.5,)
/master/pan/str ('C',)
/track/pan (0.5,)
/track/pan/str ('C',)
/track/mute (0.0,)
/track/mute/toggle (0.0,)
/track/solo (0.0,)
/track/solo/toggle (0.0,)
/track/autotrim (1.0,)
/track/autoread (0.0,)
/track/autolatch (0.0,)
/track/autotouch (0.0,)
/track/autowrite (0.0,)
/master/send/1/name ('Aux 1',)
/track/send/1/name ('Aux 1',)
/track/send/1/volume/str ('0.00dB',)
/track/send/1/volume (0.7160000205039978,)
/master/send/1/volume (0.7160000205039978,)
/master/send/1/volume/str ('0.00dB',)
/track/send/1/pan/str ('center',)
/track/send/1/pan (0.5,)
/master/send/1/pan (0.5,)
/master/send/1/pan/str ('center',)
/master/send/2/name ('Aux 2',)
/track/send/2/name ('Aux 2',)
/track/send/2/volume/str ('-inf dB',)
/track/send/2/volume (0.0025138729251921177,)
/master/send/2/volume (0.0025138729251921177,)
/master/send/2/volume/str ('-inf dB',)
/track/send/2/pan/str ('center',)
/track/send/2/pan (0.5,)
/master/send/2/pan (0.5,)
/master/send/2/pan/str ('center',)
/master/send/3/name ('Aux 3',)
/track/send/3/name ('Aux 3',)
/track/send/3/volume/str ('-inf dB',)
/track/send/3/volume (0.0025138729251921177,)
/master/send/3/volume (0.0025138729251921177,)
/master/send/3/volume/str ('-inf dB',)
/track/send/3/pan/str ('center',)
